epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.521,1.07929,1.27372,1.13851,0.79106,0.68903,0.77415,0.59575,0.93059,0.77858,1.03534,8.33e-06,8.33e-06,8.33e-06
2,216.118,1.05704,1.12808,1.15189,0.76485,0.69373,0.77681,0.603,0.9208,0.77038,1.02755,1.60829e-05,1.60829e-05,1.60829e-05
3,323.293,1.05202,1.11266,1.11843,0.751,0.70362,0.77449,0.60255,0.91867,0.77085,1.02499,2.19507e-05,2.19507e-05,2.19507e-05
4,430.729,1.01132,1.0008,1.11823,0.81982,0.66965,0.77813,0.60768,0.91241,0.76262,1.02158,2.59337e-05,2.59337e-05,2.59337e-05
5,533.905,0.96731,0.94963,1.07405,0.74668,0.73379,0.78786,0.61519,0.90077,0.74656,1.01268,2.80316e-05,2.80316e-05,2.80316e-05
6,638.162,0.97921,0.89063,1.08685,0.76156,0.74269,0.79714,0.62141,0.89818,0.73227,1.01113,2.82447e-05,2.82447e-05,2.82447e-05
7,744.233,0.95148,0.89406,1.07105,0.78171,0.73293,0.79906,0.6282,0.89515,0.72505,1.00977,2.65727e-05,2.65727e-05,2.65727e-05
8,849.682,0.9576,0.85424,1.06693,0.80053,0.72938,0.80263,0.63264,0.89129,0.71305,1.0063,2.30158e-05,2.30158e-05,2.30158e-05
9,956.184,0.96227,0.82687,1.08471,0.82274,0.73006,0.80834,0.63846,0.88341,0.70006,1.00076,1.75739e-05,1.75739e-05,1.75739e-05
10,1062.05,0.97164,0.83825,1.0752,0.83564,0.72806,0.80877,0.64124,0.88151,0.69722,0.99885,1.02471e-05,1.02471e-05,1.02471e-05
